Name,Points Per Game,Field Goal Percentage,Average 3-Point Field Goals Made,Free Throw Percentage,Rebounds Per Game,Assists Per Game,Steals Per Game,Blocks Per Game,Turnovers Per Game
Wesley Matthews,7.5,39.7,1.6,76.2,2.6,1.5,0.6,0.1,0.7
Jaxson Hayes,7.5,66.0,0.0,63.0,4.0,0.9,0.4,0.9,0.7
Michael Porter Jr.,7.5,49.5,0.9,76.7,4.1,0.7,0.4,0.4,0.7
Tyus Jones,7.4,45.9,0.7,74.1,1.6,4.4,0.9,0.1,0.8
Bismack Biyombo,7.4,54.3,0.0,60.3,5.8,0.9,0.2,0.9,0.9
Gorgui Dieng,7.4,46.1,0.9,73.5,5.8,1.2,0.8,1.0,0.9
Kris Dunn,7.3,44.4,0.6,74.1,3.6,3.4,2.0,0.3,1.3
Emmanuel Mudiay,7.3,47.1,0.6,75.4,2.4,2.2,0.4,0.2,1.4
Delon Wright,7.3,47.0,0.7,78.9,4.0,3.4,1.2,0.3,1.0
Willie Cauley-Stein,7.2,57.9,0.0,60.6,5.8,1.3,0.9,1.1,0.7
Rondae Hollis-Jefferson,7.2,47.1,0.0,73.6,4.9,1.7,0.8,0.4,0.9
Mason Plumlee,7.2,61.7,0.0,53.6,5.3,2.4,0.5,0.6,1.4
Rajon Rondo,7.1,41.8,0.9,65.9,3.0,5.0,0.8,0.0,1.9
P.J. Tucker,7.1,43.3,1.5,84.1,6.9,1.6,1.1,0.5,1.0
Nicolo Melli,6.8,44.2,1.3,73.3,3.0,1.3,0.6,0.4,0.8
Ersan Ilyasova,6.8,47.2,0.8,82.7,4.9,0.8,0.4,0.3,0.6
JaVale McGee,6.8,64.0,0.0,65.3,5.8,0.6,0.5,1.5,0.8
Kyle Korver,6.7,42.9,1.7,82.4,2.1,1.2,0.4,0.2,0.8
Damyean Dotson,6.7,41.4,1.2,66.7,1.9,1.2,0.5,0.1,0.4
Brad Wanamaker,6.6,42.8,0.5,93.1,2.0,2.5,0.8,0.2,1.1
T.J. McConnell,6.5,51.7,0.1,83.3,2.6,5.0,0.7,0.2,1.4
JaMychal Green,6.5,41.4,1.3,72.7,6.3,0.8,0.5,0.4,0.8
Kevin Knox II,6.4,35.9,1.0,65.3,2.8,0.9,0.4,0.4,0.7
Trey Lyles,6.4,44.6,1.0,73.3,5.7,1.1,0.4,0.4,0.6
Cory Joseph,6.3,42.0,0.7,82.8,2.5,3.4,0.7,0.3,1.0
Chris Boucher,6.3,45.8,0.5,79.6,4.4,0.4,0.4,1.0,0.4
Frank Ntilikina,6.3,39.3,0.8,86.4,2.1,3.0,0.9,0.3,1.2
Royce O'Neale,6.3,43.9,1.3,73.5,5.3,2.5,0.7,0.4,0.8
Marvin Williams,6.1,44.2,1.0,87.0,2.8,1.1,0.7,0.5,0.5
Meyers Leonard,6.1,52.0,1.0,65.4,5.1,1.1,0.3,0.3,0.7
Taj Gibson,6.1,58.4,0.1,73.2,4.3,0.8,0.4,0.5,0.8
James Ennis III,6.0,43.5,0.8,80.8,3.3,0.9,0.5,0.3,0.7
Juan Hernangomez,6.0,40.5,0.9,62.0,4.1,0.8,0.4,0.2,0.7
Abdel Nader,6.0,45.5,0.8,77.4,1.9,0.7,0.4,0.4,0.8
Georges Niang,5.8,45.3,1.3,86.4,1.9,0.6,0.2,0.1,0.4
Marco Belinelli,5.8,39.1,1.1,78.0,1.7,1.2,0.2,0.0,0.3
Maurice Harkless,5.8,50.2,0.5,59.1,3.9,1.1,0.9,0.5,0.9
Mike Scott,5.7,40.8,1.2,83.3,3.6,0.8,0.3,0.1,0.4
Kyle Anderson,5.7,49.3,0.3,65.2,4.4,2.2,0.8,0.5,0.9
Justin Jackson,5.7,39.9,0.8,81.8,2.4,0.8,0.2,0.2,0.2
Lonnie Walker IV,5.6,43.4,0.5,71.7,2.2,0.9,0.5,0.2,0.6
Frank Jackson,5.6,38.5,0.8,75.0,1.4,0.8,0.3,0.1,0.8
Damian Jones,5.6,68.0,0.0,73.8,3.7,0.6,0.5,0.7,0.5
Mo Bamba,5.5,46.8,0.6,67.4,5.0,0.7,0.4,1.4,0.7
Robin Lopez,5.5,50.2,0.6,53.5,2.4,0.7,0.2,0.7,0.9
Alex Caruso,5.4,42.3,0.7,76.3,1.9,1.8,1.0,0.3,0.8
Solomon Hill,5.4,40.3,1.1,71.4,2.9,1.8,0.7,0.2,0.9
Jakob Poeltl,5.3,61.9,0.0,48.6,5.3,1.8,0.5,1.4,0.8
Pat Connaughton,5.1,45.6,0.7,75.0,4.2,1.6,0.3,0.5,0.8
Vince Carter,5.0,35.2,1.0,79.3,2.1,0.8,0.4,0.4,0.6
Torrey Craig,5.0,46.2,0.7,64.5,3.1,0.7,0.4,0.6,0.4
Cody Martin,5.0,43.0,0.4,64.6,3.3,2.0,0.8,0.2,0.9
Mario Hezonja,4.8,42.9,0.4,82.4,3.4,0.9,0.6,0.2,0.8
Matisse Thybulle,4.7,41.0,0.9,61.0,1.5,1.2,1.4,0.7,0.8
Thon Maker,4.7,48.2,0.4,66.4,2.8,0.7,0.4,0.7,0.8
Tony Bradley,4.7,66.5,0.0,65.0,4.3,0.3,0.2,0.5,0.5
Jevon Carter,4.6,40.0,0.9,84.0,2.0,1.3,0.8,0.3,0.6
Patrick Patterson,4.6,40.4,1.1,79.4,2.4,0.6,0.1,0.1,0.4
Isaac Bonga,4.6,52.2,0.4,81.3,3.2,1.1,0.6,0.4,0.7
Ryan Arcidiacono,4.5,40.9,0.9,71.1,1.9,1.7,0.5,0.1,0.6
Darius Bazley,4.5,38.3,0.6,68.1,3.7,0.5,0.4,0.7,0.8
Treveon Graham,4.4,36.0,0.6,64.3,2.7,0.8,0.4,0.1,0.5
Raul Neto,4.3,45.1,0.6,83.9,1.1,1.6,0.4,0.1,0.9
Bruno Fernando,4.3,51.8,0.1,56.9,3.5,0.9,0.3,0.3,0.8
Terrance Ferguson,4.2,37.2,0.9,78.9,1.5,0.9,0.5,0.3,0.6
Elie Okobo,4.0,39.8,0.5,68.7,1.6,2.1,0.4,0.1,0.7
Jerome Robinson,3.7,34.7,0.6,69.0,1.9,1.2,0.4,0.3,0.6
Nassir Little,3.6,43.0,0.3,63.6,2.3,0.5,0.3,0.3,0.3
Grant Williams,3.5,41.7,0.3,72.5,2.7,1.0,0.5,0.5,0.7
Anthony Tolliver,3.5,34.8,0.8,72.0,2.8,0.7,0.3,0.2,0.6
Rodney McGruder,3.2,39.1,0.4,53.6,2.6,0.6,0.5,0.2,0.4
Semi Ojeleye,3.1,40.9,0.6,89.3,2.0,0.5,0.3,0.1,0.2
Matthew Dellavedova,3.1,35.4,0.4,86.5,1.3,3.2,0.4,0.0,1.0
Goga Bitadze,3.1,47.3,0.1,72.7,2.0,0.4,0.1,0.7,0.5
